,result,decision,ageDiff,weightDiff,heightDiff,reachDiff,total_bouts_A,total_bouts_B,KoPercent_A,KoPercent_B,WinPercent_A,WinPercent_B,LossPercent_A,LossPercent_B,DrawPercent_A,DrawPercent_B
0,draw,SD,8.0,0.0,4.0,-1.0,37,50,89.1891891891892,68.0,100.0,98.0,0.0,2.0,0.0,2.0
1,win_A,UD,-5.0,0.0,-10.0,-6.0,49,52,69.38775510204081,61.53846153846154,97.95918367346938,96.15384615384616,2.0408163265306123,3.8461538461538463,2.0408163265306123,1.9230769230769231
3,win_A,KO,-4.0,0.0,1.0,-1.0,47,34,68.08510638297872,55.88235294117647,97.87234042553192,91.17647058823529,2.127659574468085,8.823529411764707,2.127659574468085,0.0
6,win_A,SD,-8.0,0.0,0.0,-9.0,44,20,70.45454545454545,60.0,97.72727272727273,95.0,2.272727272727273,5.0,2.272727272727273,10.0
10,win_A,TKO,-6.0,1.0,-2.0,4.0,40,34,72.5,52.94117647058824,100.0,88.23529411764706,0.0,11.76470588235294,2.5,0.0
11,win_A,UD,-19.0,0.0,1.0,-1.0,39,53,74.35897435897436,73.58490566037736,100.0,86.79245283018868,0.0,13.20754716981132,2.564102564102564,1.8867924528301887
12,win_A,TKO,-11.0,0.0,-5.0,-9.0,38,37,73.68421052631578,75.67567567567568,100.0,89.1891891891892,0.0,10.81081081081081,2.631578947368421,2.7027027027027026
19,win_A,TKO,-13.0,1.0,8.0,6.0,31,32,74.19354838709677,71.875,100.0,96.875,0.0,3.125,3.225806451612903,3.125
25,win_A,TKO,-8.0,0.0,-5.0,-9.0,25,25,72.0,84.0,100.0,92.0,0.0,8.0,4.0,0.0
28,win_A,TKO,-10.0,0.0,2.0,-4.0,22,17,68.18181818181817,88.23529411764706,100.0,94.11764705882352,0.0,5.88235294117647,4.545454545454546,0.0
52,win_A,KO,-5.0,1.0,-6.0,-3.0,31,22,70.96774193548387,50.0,100.0,100.0,0.0,0.0,0.0,0.0
54,win_A,TKO,-4.0,-4.0,-6.0,-2.0,29,35,68.96551724137932,65.71428571428571,100.0,82.85714285714286,0.0,17.142857142857142,0.0,0.0
57,win_A,TKO,-5.0,0.0,4.0,-5.0,26,30,69.23076923076923,66.66666666666666,100.0,96.66666666666667,0.0,3.3333333333333335,0.0,0.0
59,win_A,UD,-6.0,1.0,0.0,5.0,24,35,70.83333333333334,48.57142857142857,100.0,82.85714285714286,0.0,17.142857142857142,0.0,2.857142857142857
70,win_A,TKO,-7.0,0.0,8.0,10.0,13,31,76.92307692307693,35.483870967741936,100.0,64.51612903225806,0.0,35.483870967741936,0.0,0.0
75,win_A,TKO,-7.0,0.0,3.0,9.0,8,23,62.5,26.08695652173913,100.0,39.130434782608695,0.0,60.86956521739131,0.0,4.3478260869565215
99,win_A,TKO,5.0,-1.0,1.0,-10.0,32,20,90.625,30.0,100.0,95.0,0.0,5.0,0.0,0.0
105,win_A,KO,0.0,0.0,1.0,-2.0,26,33,88.46153846153845,60.60606060606061,100.0,87.87878787878788,0.0,12.121212121212121,0.0,0.0
107,win_A,TKO,3.0,1.0,-3.0,-4.0,24,26,87.5,50.0,100.0,80.76923076923077,0.0,19.230769230769234,0.0,0.0
108,win_A,TKO,3.0,0.0,-1.0,0.0,23,29,86.95652173913044,72.41379310344827,100.0,96.55172413793103,0.0,3.4482758620689653,0.0,0.0
111,win_A,TKO,-3.0,2.0,6.0,-2.0,20,34,85.0,50.0,100.0,79.41176470588235,0.0,20.588235294117645,0.0,2.941176470588235
158,win_B,TKO,3.0,0.0,11.0,18.0,28,21,42.857142857142854,80.95238095238095,92.85714285714286,85.71428571428571,7.142857142857142,14.285714285714285,3.571428571428571,4.761904761904762
184,win_A,TKO,-4.0,-12.0,-3.0,1.0,16,17,100.0,88.23529411764706,100.0,100.0,0.0,0.0,0.0,0.0
185,win_B,KO,3.0,-1.0,-2.0,-5.0,23,15,91.30434782608695,100.0,100.0,100.0,0.0,0.0,4.3478260869565215,0.0
186,win_A,TKO,-1.0,-2.0,5.0,10.0,14,16,100.0,81.25,100.0,100.0,0.0,0.0,0.0,0.0
189,win_A,TKO,-9.0,12.0,5.0,17.0,11,46,100.0,60.86956521739131,100.0,78.26086956521739,0.0,21.73913043478261,0.0,2.1739130434782608
190,win_A,KO,-12.0,1.0,10.0,15.0,10,45,100.0,24.444444444444443,100.0,57.77777777777777,0.0,42.22222222222222,0.0,8.88888888888889
214,win_A,TKO,-15.0,0.0,5.0,7.0,19,54,84.21052631578947,44.44444444444444,100.0,74.07407407407408,0.0,25.925925925925924,0.0,5.555555555555555
235,win_A,UD,-1.0,-1.0,1.0,-2.0,26,27,84.61538461538461,59.25925925925925,100.0,96.29629629629629,0.0,3.7037037037037033,0.0,3.7037037037037033
237,win_A,UD,-5.0,0.0,-4.0,-5.0,24,34,87.5,52.94117647058824,100.0,94.11764705882352,0.0,5.88235294117647,0.0,2.941176470588235
253,win_A,TKO,-5.0,3.0,-2.0,-3.0,8,62,100.0,9.67741935483871,100.0,41.935483870967744,0.0,58.06451612903226,0.0,3.225806451612903
262,win_A,TKO,-6.0,1.0,0.0,-10.0,24,33,75.0,51.515151515151516,100.0,93.93939393939394,0.0,6.0606060606060606,0.0,0.0
263,win_A,TKO,-12.0,0.0,-5.0,-7.0,23,27,73.91304347826086,70.37037037037037,100.0,100.0,0.0,0.0,0.0,7.4074074074074066
307,win_B,MD,1.0,0.0,-6.0,-18.0,23,33,60.86956521739131,54.54545454545454,100.0,96.96969696969697,0.0,3.0303030303030303,0.0,3.0303030303030303
313,win_A,TKO,0.0,-1.0,1.0,7.0,27,19,55.55555555555556,31.57894736842105,100.0,89.47368421052632,0.0,10.526315789473683,3.7037037037037033,15.789473684210526
314,win_A,UD,-7.0,0.0,3.0,2.0,26,56,57.692307692307686,42.857142857142854,100.0,87.5,0.0,12.5,3.8461538461538463,3.571428571428571
317,win_A,TKO,-10.0,1.0,5.0,1.0,23,40,56.52173913043478,70.0,100.0,90.0,0.0,10.0,4.3478260869565215,0.0
321,win_A,UD,-9.0,0.0,1.0,-5.0,19,23,57.89473684210527,52.17391304347826,100.0,86.95652173913044,0.0,13.043478260869565,5.263157894736842,4.3478260869565215
326,win_B,KO,-1.0,0.0,-3.0,-4.0,22,14,45.45454545454545,42.857142857142854,90.9090909090909,100.0,9.090909090909092,0.0,0.0,7.142857142857142
327,win_A,TKO,-6.0,-2.0,3.0,-3.0,13,5,38.46153846153847,40.0,100.0,80.0,0.0,20.0,7.6923076923076925,0.0
332,win_A,UD,-1.0,1.0,10.0,7.0,8,7,25.0,57.14285714285714,100.0,85.71428571428571,0.0,14.285714285714285,12.5,0.0
333,win_A,UD,-18.0,2.0,11.0,7.0,7,41,28.57142857142857,43.90243902439025,100.0,65.85365853658537,0.0,34.146341463414636,14.285714285714285,2.4390243902439024
335,win_A,UD,-3.0,0.0,8.0,2.0,5,7,40.0,28.57142857142857,100.0,71.42857142857143,0.0,28.57142857142857,20.0,14.285714285714285
336,win_A,UD,-5.0,0.0,6.0,2.0,4,15,50.0,33.33333333333333,100.0,46.666666666666664,0.0,53.333333333333336,25.0,13.333333333333334
339,win_A,UD,-6.0,-4.0,6.0,2.0,1,2,100.0,50.0,100.0,100.0,0.0,0.0,100.0,0.0
